pr_number,rule_id,rule_name,category,severity,weight,triggered,evidence,description,recommendation
2944,PR005,Security-sensitive file change,Security,High,20,False,has_security_sensitive_changes=False; security_sensitive_files_changed=0,The PR changes one or more files classified as security-sensitive.,"Require focused security review and verify that secrets, authentication and permission impacts have been assessed."
2944,PR006,Security-sensitive change without tests,Security,Critical,28,False,security_change=False; security_sensitive_files_changed=0; has_test_changes=False,Security-sensitive files changed without a detected test update.,Block approval until security-relevant tests or documented validation evidence are supplied.
2944,PR007,Configuration change,Operations,Moderate,10,False,has_configuration_changes=False; configuration_files_changed=0,The PR modifies configuration-related files.,"Confirm environment impact, deployment sequencing, rollback instructions and configuration validation."
2944,PR008,Large pull request,Complexity,Moderate,12,False,total_changes=10; changed_files=1,The PR contains at least 500 changed lines or 20 changed files.,Consider splitting the change or assign additional review capacity to reduce review risk.
2944,PR009,Very large pull request,Complexity,High,22,False,total_changes=10; changed_files=1,"The PR contains at least 1,500 changed lines or 50 changed files.",Split the PR where practical and require a structured review plan before approval.
2944,PR010,High commit complexity,Complexity,Moderate,8,False,commit_count=1,The PR contains ten or more commits.,Review commit organisation and consider squashing or restructuring commits for easier review.
2944,PR011,Risk-bearing PR without reviewer,Governance,High,18,False,requested_reviewer_count=0; total_changes=10; changed_files=1; security_changes=False; configuration_changes=False,"A large, security-sensitive or configuration-related PR has no requested reviewer.",Assign an appropriate reviewer before the PR progresses toward approval.
2944,PR012,Multiple unusual PR characteristics,Complexity,Moderate,10,False,has_any_iqr_outlier=True; iqr_outlier_feature_count=1,The PR has multiple features outside historical interquartile ranges.,Perform additional manual review because several PR characteristics are unusual for this repository.
2955,PR001,Missing PR description,Documentation,High,18,False,has_description=True; body_length=532,The pull request does not provide a usable description.,"Add a clear description covering the purpose, scope, expected behaviour and validation performed."
2955,PR002,Weak PR description,Documentation,Moderate,8,False,has_description=True; has_detailed_description=True; body_word_count=85,The description exists but appears too short or insufficiently detailed.,"Expand the description with implementation context, testing evidence and reviewer guidance."
2955,PR003,Substantive change without tests,Testing,High,22,False,has_test_changes=False; total_changes=1; changed_files=1; security_changes=False; configuration_changes=False,"A substantive code, configuration or security change has no detected test-file update.","Add or update automated tests, or document why additional tests are not required."
2955,PR004,Substantial change without documentation,Documentation,Moderate,10,False,has_documentation_changes=False; total_changes=1; changed_files=1; configuration_changes=False,A substantial or configuration-related change has no detected documentation update.,"Update user, developer or operational documentation where the change affects expected behaviour."
2955,PR005,Security-sensitive file change,Security,High,20,False,has_security_sensitive_changes=False; security_sensitive_files_changed=0,The PR changes one or more files classified as security-sensitive.,"Require focused security review and verify that secrets, authentication and permission impacts have been assessed."
2955,PR006,Security-sensitive change without tests,Security,Critical,28,False,security_change=False; security_sensitive_files_changed=0; has_test_changes=False,Security-sensitive files changed without a detected test update.,Block approval until security-relevant tests or documented validation evidence are supplied.
2955,PR007,Configuration change,Operations,Moderate,10,False,has_configuration_changes=False; configuration_files_changed=0,The PR modifies configuration-related files.,"Confirm environment impact, deployment sequencing, rollback instructions and configuration validation."
2955,PR008,Large pull request,Complexity,Moderate,12,False,total_changes=1; changed_files=1,The PR contains at least 500 changed lines or 20 changed files.,Consider splitting the change or assign additional review capacity to reduce review risk.
2955,PR009,Very large pull request,Complexity,High,22,False,total_changes=1; changed_files=1,"The PR contains at least 1,500 changed lines or 50 changed files.",Split the PR where practical and require a structured review plan before approval.
2955,PR010,High commit complexity,Complexity,Moderate,8,False,commit_count=1,The PR contains ten or more commits.,Review commit organisation and consider squashing or restructuring commits for easier review.
2955,PR011,Risk-bearing PR without reviewer,Governance,High,18,False,requested_reviewer_count=0; total_changes=1; changed_files=1; security_changes=False; configuration_changes=False,"A large, security-sensitive or configuration-related PR has no requested reviewer.",Assign an appropriate reviewer before the PR progresses toward approval.
2955,PR012,Multiple unusual PR characteristics,Complexity,Moderate,10,False,has_any_iqr_outlier=False; iqr_outlier_feature_count=0,The PR has multiple features outside historical interquartile ranges.,Perform additional manual review because several PR characteristics are unusual for this repository.
2963,PR001,Missing PR description,Documentation,High,18,False,has_description=True; body_length=463,The pull request does not provide a usable description.,"Add a clear description covering the purpose, scope, expected behaviour and validation performed."
2963,PR002,Weak PR description,Documentation,Moderate,8,False,has_description=True; has_detailed_description=True; body_word_count=75,The description exists but appears too short or insufficiently detailed.,"Expand the description with implementation context, testing evidence and reviewer guidance."
2963,PR003,Substantive change without tests,Testing,High,22,False,has_test_changes=True; total_changes=21; changed_files=2; security_changes=False; configuration_changes=False,"A substantive code, configuration or security change has no detected test-file update.","Add or update automated tests, or document why additional tests are not required."
2963,PR004,Substantial change without documentation,Documentation,Moderate,10,False,has_documentation_changes=False; total_changes=21; changed_files=2; configuration_changes=False,A substantial or configuration-related change has no detected documentation update.,"Update user, developer or operational documentation where the change affects expected behaviour."
2963,PR005,Security-sensitive file change,Security,High,20,False,has_security_sensitive_changes=False; security_sensitive_files_changed=0,The PR changes one or more files classified as security-sensitive.,"Require focused security review and verify that secrets, authentication and permission impacts have been assessed."
2963,PR006,Security-sensitive change without tests,Security,Critical,28,False,security_change=False; security_sensitive_files_changed=0; has_test_changes=True,Security-sensitive files changed without a detected test update.,Block approval until security-relevant tests or documented validation evidence are supplied.
2963,PR007,Configuration change,Operations,Moderate,10,False,has_configuration_changes=False; configuration_files_changed=0,The PR modifies configuration-related files.,"Confirm environment impact, deployment sequencing, rollback instructions and configuration validation."
2963,PR008,Large pull request,Complexity,Moderate,12,False,total_changes=21; changed_files=2,The PR contains at least 500 changed lines or 20 changed files.,Consider splitting the change or assign additional review capacity to reduce review risk.
2963,PR009,Very large pull request,Complexity,High,22,False,total_changes=21; changed_files=2,"The PR contains at least 1,500 changed lines or 50 changed files.",Split the PR where practical and require a structured review plan before approval.
2963,PR010,High commit complexity,Complexity,Moderate,8,False,commit_count=1,The PR contains ten or more commits.,Review commit organisation and consider squashing or restructuring commits for easier review.
2963,PR011,Risk-bearing PR without reviewer,Governance,High,18,False,requested_reviewer_count=0; total_changes=21; changed_files=2; security_changes=False; configuration_changes=False,"A large, security-sensitive or configuration-related PR has no requested reviewer.",Assign an appropriate reviewer before the PR progresses toward approval.
2963,PR012,Multiple unusual PR characteristics,Complexity,Moderate,10,False,has_any_iqr_outlier=True; iqr_outlier_feature_count=1,The PR has multiple features outside historical interquartile ranges.,Perform additional manual review because several PR characteristics are unusual for this repository.
2969,PR001,Missing PR description,Documentation,High,18,False,has_description=True; body_length=157,The pull request does not provide a usable description.,"Add a clear description covering the purpose, scope, expected behaviour and validation performed."
2969,PR002,Weak PR description,Documentation,Moderate,8,True,has_description=True; has_detailed_description=False; body_word_count=25,The description exists but appears too short or insufficiently detailed.,"Expand the description with implementation context, testing evidence and reviewer guidance."
2969,PR003,Substantive change without tests,Testing,High,22,True,has_test_changes=False; total_changes=34; changed_files=13; security_changes=False; configuration_changes=False,"A substantive code, configuration or security change has no detected test-file update.","Add or update automated tests, or document why additional tests are not required."
2969,PR004,Substantial change without documentation,Documentation,Moderate,10,False,has_documentation_changes=True; total_changes=34; changed_files=13; configuration_changes=False,A substantial or configuration-related change has no detected documentation update.,"Update user, developer or operational documentation where the change affects expected behaviour."
2969,PR005,Security-sensitive file change,Security,High,20,False,has_security_sensitive_changes=False; security_sensitive_files_changed=0,The PR changes one or more files classified as security-sensitive.,"Require focused security review and verify that secrets, authentication and permission impacts have been assessed."
2969,PR006,Security-sensitive change without tests,Security,Critical,28,False,security_change=False; security_sensitive_files_changed=0; has_test_changes=False,Security-sensitive files changed without a detected test update.,Block approval until security-relevant tests or documented validation evidence are supplied.
2969,PR007,Configuration change,Operations,Moderate,10,False,has_configuration_changes=False; configuration_files_changed=0,The PR modifies configuration-related files.,"Confirm environment impact, deployment sequencing, rollback instructions and configuration validation."
2969,PR008,Large pull request,Complexity,Moderate,12,False,total_changes=34; changed_files=13,The PR contains at least 500 changed lines or 20 changed files.,Consider splitting the change or assign additional review capacity to reduce review risk.
2969,PR009,Very large pull request,Complexity,High,22,False,total_changes=34; changed_files=13,"The PR contains at least 1,500 changed lines or 50 changed files.",Split the PR where practical and require a structured review plan before approval.
2969,PR010,High commit complexity,Complexity,Moderate,8,False,commit_count=1,The PR contains ten or more commits.,Review commit organisation and consider squashing or restructuring commits for easier review.
2969,PR011,Risk-bearing PR without reviewer,Governance,High,18,False,requested_reviewer_count=0; total_changes=34; changed_files=13; security_changes=False; configuration_changes=False,"A large, security-sensitive or configuration-related PR has no requested reviewer.",Assign an appropriate reviewer before the PR progresses toward approval.
2969,PR012,Multiple unusual PR characteristics,Complexity,Moderate,10,True,has_any_iqr_outlier=True; iqr_outlier_feature_count=3,The PR has multiple features outside historical interquartile ranges.,Perform additional manual review because several PR characteristics are unusual for this repository.
2973,PR001,Missing PR description,Documentation,High,18,False,has_description=True; body_length=48,The pull request does not provide a usable description.,"Add a clear description covering the purpose, scope, expected behaviour and validation performed."
2973,PR002,Weak PR description,Documentation,Moderate,8,True,has_description=True; has_detailed_description=False; body_word_count=9,The description exists but appears too short or insufficiently detailed.,"Expand the description with implementation context, testing evidence and reviewer guidance."
2973,PR003,Substantive change without tests,Testing,High,22,False,has_test_changes=False; total_changes=6; changed_files=1; security_changes=False; configuration_changes=False,"A substantive code, configuration or security change has no detected test-file update.","Add or update automated tests, or document why additional tests are not required."
2973,PR004,Substantial change without documentation,Documentation,Moderate,10,False,has_documentation_changes=True; total_changes=6; changed_files=1; configuration_changes=False,A substantial or configuration-related change has no detected documentation update.,"Update user, developer or operational documentation where the change affects expected behaviour."
2973,PR005,Security-sensitive file change,Security,High,20,False,has_security_sensitive_changes=False; security_sensitive_files_changed=0,The PR changes one or more files classified as security-sensitive.,"Require focused security review and verify that secrets, authentication and permission impacts have been assessed."
2973,PR006,Security-sensitive change without tests,Security,Critical,28,False,security_change=False; security_sensitive_files_changed=0; has_test_changes=False,Security-sensitive files changed without a detected test update.,Block approval until security-relevant tests or documented validation evidence are supplied.
2973,PR007,Configuration change,Operations,Moderate,10,False,has_configuration_changes=False; configuration_files_changed=0,The PR modifies configuration-related files.,"Confirm environment impact, deployment sequencing, rollback instructions and configuration validation."
2973,PR008,Large pull request,Complexity,Moderate,12,False,total_changes=6; changed_files=1,The PR contains at least 500 changed lines or 20 changed files.,Consider splitting the change or assign additional review capacity to reduce review risk.
2973,PR009,Very large pull request,Complexity,High,22,False,total_changes=6; changed_files=1,"The PR contains at least 1,500 changed lines or 50 changed files.",Split the PR where practical and require a structured review plan before approval.
2973,PR010,High commit complexity,Complexity,Moderate,8,False,commit_count=1,The PR contains ten or more commits.,Review commit organisation and consider squashing or restructuring commits for easier review.
2973,PR011,Risk-bearing PR without reviewer,Governance,High,18,False,requested_reviewer_count=0; total_changes=6; changed_files=1; security_changes=False; configuration_changes=False,"A large, security-sensitive or configuration-related PR has no requested reviewer.",Assign an appropriate reviewer before the PR progresses toward approval.
2973,PR012,Multiple unusual PR characteristics,Complexity,Moderate,10,False,has_any_iqr_outlier=True; iqr_outlier_feature_count=1,The PR has multiple features outside historical interquartile ranges.,Perform additional manual review because several PR characteristics are unusual for this repository.
2983,PR001,Missing PR description,Documentation,High,18,False,has_description=True; body_length=170,The pull request does not provide a usable description.,"Add a clear description covering the purpose, scope, expected behaviour and validation performed."
2983,PR002,Weak PR description,Documentation,Moderate,8,True,has_description=True; has_detailed_description=False; body_word_count=11,The description exists but appears too short or insufficiently detailed.,"Expand the description with implementation context, testing evidence and reviewer guidance."
2983,PR003,Substantive change without tests,Testing,High,22,False,has_test_changes=True; total_changes=53; changed_files=2; security_changes=False; configuration_changes=False,"A substantive code, configuration or security change has no detected test-file update.","Add or update automated tests, or document why additional tests are not required."
2983,PR004,Substantial change without documentation,Documentation,Moderate,10,False,has_documentation_changes=False; total_changes=53; changed_files=2; configuration_changes=False,A substantial or configuration-related change has no detected documentation update.,"Update user, developer or operational documentation where the change affects expected behaviour."
2983,PR005,Security-sensitive file change,Security,High,20,False,has_security_sensitive_changes=False; security_sensitive_files_changed=0,The PR changes one or more files classified as security-sensitive.,"Require focused security review and verify that secrets, authentication and permission impacts have been assessed."
2983,PR006,Security-sensitive change without tests,Security,Critical,28,False,security_change=False; security_sensitive_files_changed=0; has_test_changes=True,Security-sensitive files changed without a detected test update.,Block approval until security-relevant tests or documented validation evidence are supplied.
2983,PR007,Configuration change,Operations,Moderate,10,False,has_configuration_changes=False; configuration_files_changed=0,The PR modifies configuration-related files.,"Confirm environment impact, deployment sequencing, rollback instructions and configuration validation."
2983,PR008,Large pull request,Complexity,Moderate,12,False,total_changes=53; changed_files=2,The PR contains at least 500 changed lines or 20 changed files.,Consider splitting the change or assign additional review capacity to reduce review risk.
2983,PR009,Very large pull request,Complexity,High,22,False,total_changes=53; changed_files=2,"The PR contains at least 1,500 changed lines or 50 changed files.",Split the PR where practical and require a structured review plan before approval.
2983,PR010,High commit complexity,Complexity,Moderate,8,False,commit_count=2,The PR contains ten or more commits.,Review commit organisation and consider squashing or restructuring commits for easier review.
2983,PR011,Risk-bearing PR without reviewer,Governance,High,18,False,requested_reviewer_count=0; total_changes=53; changed_files=2; security_changes=False; configuration_changes=False,"A large, security-sensitive or configuration-related PR has no requested reviewer.",Assign an appropriate reviewer before the PR progresses toward approval.
2983,PR012,Multiple unusual PR characteristics,Complexity,Moderate,10,True,has_any_iqr_outlier=True; iqr_outlier_feature_count=3,The PR has multiple features outside historical interquartile ranges.,Perform additional manual review because several PR characteristics are unusual for this repository.
2986,PR001,Missing PR description,Documentation,High,18,False,has_description=True; body_length=50,The pull request does not provide a usable description.,"Add a clear description covering the purpose, scope, expected behaviour and validation performed."
2986,PR002,Weak PR description,Documentation,Moderate,8,True,has_description=True; has_detailed_description=False; body_word_count=2,The description exists but appears too short or insufficiently detailed.,"Expand the description with implementation context, testing evidence and reviewer guidance."
2986,PR003,Substantive change without tests,Testing,High,22,False,has_test_changes=True; total_changes=32; changed_files=3; security_changes=False; configuration_changes=False,"A substantive code, configuration or security change has no detected test-file update.","Add or update automated tests, or document why additional tests are not required."
2986,PR004,Substantial change without documentation,Documentation,Moderate,10,False,has_documentation_changes=True; total_changes=32; changed_files=3; configuration_changes=False,A substantial or configuration-related change has no detected documentation update.,"Update user, developer or operational documentation where the change affects expected behaviour."
2986,PR005,Security-sensitive file change,Security,High,20,False,has_security_sensitive_changes=False; security_sensitive_files_changed=0,The PR changes one or more files classified as security-sensitive.,"Require focused security review and verify that secrets, authentication and permission impacts have been assessed."
2986,PR006,Security-sensitive change without tests,Security,Critical,28,False,security_change=False; security_sensitive_files_changed=0; has_test_changes=True,Security-sensitive files changed without a detected test update.,Block approval until security-relevant tests or documented validation evidence are supplied.
2986,PR007,Configuration change,Operations,Moderate,10,False,has_configuration_changes=False; configuration_files_changed=0,The PR modifies configuration-related files.,"Confirm environment impact, deployment sequencing, rollback instructions and configuration validation."
2986,PR008,Large pull request,Complexity,Moderate,12,False,total_changes=32; changed_files=3,The PR contains at least 500 changed lines or 20 changed files.,Consider splitting the change or assign additional review capacity to reduce review risk.
2986,PR009,Very large pull request,Complexity,High,22,False,total_changes=32; changed_files=3,"The PR contains at least 1,500 changed lines or 50 changed files.",Split the PR where practical and require a structured review plan before approval.
2986,PR010,High commit complexity,Complexity,Moderate,8,False,commit_count=2,The PR contains ten or more commits.,Review commit organisation and consider squashing or restructuring commits for easier review.
2986,PR011,Risk-bearing PR without reviewer,Governance,High,18,False,requested_reviewer_count=0; total_changes=32; changed_files=3; security_changes=False; configuration_changes=False,"A large, security-sensitive or configuration-related PR has no requested reviewer.",Assign an appropriate reviewer before the PR progresses toward approval.
2986,PR012,Multiple unusual PR characteristics,Complexity,Moderate,10,True,has_any_iqr_outlier=True; iqr_outlier_feature_count=3,The PR has multiple features outside historical interquartile ranges.,Perform additional manual review because several PR characteristics are unusual for this repository.
2993,PR001,Missing PR description,Documentation,High,18,False,has_description=True; body_length=247,The pull request does not provide a usable description.,"Add a clear description covering the purpose, scope, expected behaviour and validation performed."
2993,PR002,Weak PR description,Documentation,Moderate,8,True,has_description=True; has_detailed_description=False; body_word_count=27,The description exists but appears too short or insufficiently detailed.,"Expand the description with implementation context, testing evidence and reviewer guidance."
2993,PR003,Substantive change without tests,Testing,High,22,True,has_test_changes=False; total_changes=59; changed_files=1; security_changes=False; configuration_changes=False,"A substantive code, configuration or security change has no detected test-file update.","Add or update automated tests, or document why additional tests are not required."
2993,PR004,Substantial change without documentation,Documentation,Moderate,10,False,has_documentation_changes=True; total_changes=59; changed_files=1; configuration_changes=False,A substantial or configuration-related change has no detected documentation update.,"Update user, developer or operational documentation where the change affects expected behaviour."
2993,PR005,Security-sensitive file change,Security,High,20,False,has_security_sensitive_changes=False; security_sensitive_files_changed=0,The PR changes one or more files classified as security-sensitive.,"Require focused security review and verify that secrets, authentication and permission impacts have been assessed."
2993,PR006,Security-sensitive change without tests,Security,Critical,28,False,security_change=False; security_sensitive_files_changed=0; has_test_changes=False,Security-sensitive files changed without a detected test update.,Block approval until security-relevant tests or documented validation evidence are supplied.
2993,PR007,Configuration change,Operations,Moderate,10,False,has_configuration_changes=False; configuration_files_changed=0,The PR modifies configuration-related files.,"Confirm environment impact, deployment sequencing, rollback instructions and configuration validation."
2993,PR008,Large pull request,Complexity,Moderate,12,False,total_changes=59; changed_files=1,The PR contains at least 500 changed lines or 20 changed files.,Consider splitting the change or assign additional review capacity to reduce review risk.
2993,PR009,Very large pull request,Complexity,High,22,False,total_changes=59; changed_files=1,"The PR contains at least 1,500 changed lines or 50 changed files.",Split the PR where practical and require a structured review plan before approval.
2993,PR010,High commit complexity,Complexity,Moderate,8,False,commit_count=1,The PR contains ten or more commits.,Review commit organisation and consider squashing or restructuring commits for easier review.
2993,PR011,Risk-bearing PR without reviewer,Governance,High,18,False,requested_reviewer_count=0; total_changes=59; changed_files=1; security_changes=False; configuration_changes=False,"A large, security-sensitive or configuration-related PR has no requested reviewer.",Assign an appropriate reviewer before the PR progresses toward approval.
2993,PR012,Multiple unusual PR characteristics,Complexity,Moderate,10,False,has_any_iqr_outlier=True; iqr_outlier_feature_count=1,The PR has multiple features outside historical interquartile ranges.,Perform additional manual review because several PR characteristics are unusual for this repository.
3001,PR001,Missing PR description,Documentation,High,18,False,has_description=True; body_length=487,The pull request does not provide a usable description.,"Add a clear description covering the purpose, scope, expected behaviour and validation performed."
3001,PR002,Weak PR description,Documentation,Moderate,8,False,has_description=True; has_detailed_description=True; body_word_count=57,The description exists but appears too short or insufficiently detailed.,"Expand the description with implementation context, testing evidence and reviewer guidance."
3001,PR003,Substantive change without tests,Testing,High,22,False,has_test_changes=True; total_changes=83; changed_files=5; security_changes=False; configuration_changes=False,"A substantive code, configuration or security change has no detected test-file update.","Add or update automated tests, or document why additional tests are not required."
3001,PR004,Substantial change without documentation,Documentation,Moderate,10,False,has_documentation_changes=True; total_changes=83; changed_files=5; configuration_changes=False,A substantial or configuration-related change has no detected documentation update.,"Update user, developer or operational documentation where the change affects expected behaviour."
3001,PR005,Security-sensitive file change,Security,High,20,False,has_security_sensitive_changes=False; security_sensitive_files_changed=0,The PR changes one or more files classified as security-sensitive.,"Require focused security review and verify that secrets, authentication and permission impacts have been assessed."
3001,PR006,Security-sensitive change without tests,Security,Critical,28,False,security_change=False; security_sensitive_files_changed=0; has_test_changes=True,Security-sensitive files changed without a detected test update.,Block approval until security-relevant tests or documented validation evidence are supplied.
3001,PR007,Configuration change,Operations,Moderate,10,False,has_configuration_changes=False; configuration_files_changed=0,The PR modifies configuration-related files.,"Confirm environment impact, deployment sequencing, rollback instructions and configuration validation."
3001,PR008,Large pull request,Complexity,Moderate,12,False,total_changes=83; changed_files=5,The PR contains at least 500 changed lines or 20 changed files.,Consider splitting the change or assign additional review capacity to reduce review risk.
3001,PR009,Very large pull request,Complexity,High,22,False,total_changes=83; changed_files=5,"The PR contains at least 1,500 changed lines or 50 changed files.",Split the PR where practical and require a structured review plan before approval.
3001,PR010,High commit complexity,Complexity,Moderate,8,False,commit_count=7,The PR contains ten or more commits.,Review commit organisation and consider squashing or restructuring commits for easier review.
3001,PR011,Risk-bearing PR without reviewer,Governance,High,18,False,requested_reviewer_count=0; total_changes=83; changed_files=5; security_changes=False; configuration_changes=False,"A large, security-sensitive or configuration-related PR has no requested reviewer.",Assign an appropriate reviewer before the PR progresses toward approval.
3001,PR012,Multiple unusual PR characteristics,Complexity,Moderate,10,True,has_any_iqr_outlier=True; iqr_outlier_feature_count=6,The PR has multiple features outside historical interquartile ranges.,Perform additional manual review because several PR characteristics are unusual for this repository.
3011,PR001,Missing PR description,Documentation,High,18,False,has_description=True; body_length=25,The pull request does not provide a usable description.,"Add a clear description covering the purpose, scope, expected behaviour and validation performed."
3011,PR002,Weak PR description,Documentation,Moderate,8,True,has_description=True; has_detailed_description=False; body_word_count=4,The description exists but appears too short or insufficiently detailed.,"Expand the description with implementation context, testing evidence and reviewer guidance."
3011,PR003,Substantive change without tests,Testing,High,22,False,has_test_changes=False; total_changes=6; changed_files=1; security_changes=False; configuration_changes=False,"A substantive code, configuration or security change has no detected test-file update.","Add or update automated tests, or document why additional tests are not required."
3011,PR004,Substantial change without documentation,Documentation,Moderate,10,False,has_documentation_changes=False; total_changes=6; changed_files=1; configuration_changes=False,A substantial or configuration-related change has no detected documentation update.,"Update user, developer or operational documentation where the change affects expected behaviour."
3011,PR005,Security-sensitive file change,Security,High,20,False,has_security_sensitive_changes=False; security_sensitive_files_changed=0,The PR changes one or more files classified as security-sensitive.,"Require focused security review and verify that secrets, authentication and permission impacts have been assessed."
3011,PR006,Security-sensitive change without tests,Security,Critical,28,False,security_change=False; security_sensitive_files_changed=0; has_test_changes=False,Security-sensitive files changed without a detected test update.,Block approval until security-relevant tests or documented validation evidence are supplied.
3011,PR007,Configuration change,Operations,Moderate,10,False,has_configuration_changes=False; configuration_files_changed=0,The PR modifies configuration-related files.,"Confirm environment impact, deployment sequencing, rollback instructions and configuration validation."
3011,PR008,Large pull request,Complexity,Moderate,12,False,total_changes=6; changed_files=1,The PR contains at least 500 changed lines or 20 changed files.,Consider splitting the change or assign additional review capacity to reduce review risk.
3011,PR009,Very large pull request,Complexity,High,22,False,total_changes=6; changed_files=1,"The PR contains at least 1,500 changed lines or 50 changed files.",Split the PR where practical and require a structured review plan before approval.
3011,PR010,High commit complexity,Complexity,Moderate,8,False,commit_count=1,The PR contains ten or more commits.,Review commit organisation and consider squashing or restructuring commits for easier review.
3011,PR011,Risk-bearing PR without reviewer,Governance,High,18,False,requested_reviewer_count=0; total_changes=6; changed_files=1; security_changes=False; configuration_changes=False,"A large, security-sensitive or configuration-related PR has no requested reviewer.",Assign an appropriate reviewer before the PR progresses toward approval.
3011,PR012,Multiple unusual PR characteristics,Complexity,Moderate,10,False,has_any_iqr_outlier=True; iqr_outlier_feature_count=1,The PR has multiple features outside historical interquartile ranges.,Perform additional manual review because several PR characteristics are unusual for this repository.
3015,PR001,Missing PR description,Documentation,High,18,False,has_description=True; body_length=693,The pull request does not provide a usable description.,"Add a clear description covering the purpose, scope, expected behaviour and validation performed."
3015,PR002,Weak PR description,Documentation,Moderate,8,False,has_description=True; has_detailed_description=True; body_word_count=110,The description exists but appears too short or insufficiently detailed.,"Expand the description with implementation context, testing evidence and reviewer guidance."
3015,PR003,Substantive change without tests,Testing,High,22,False,has_test_changes=False; total_changes=14; changed_files=1; security_changes=False; configuration_changes=False,"A substantive code, configuration or security change has no detected test-file update.","Add or update automated tests, or document why additional tests are not required."
3015,PR004,Substantial change without documentation,Documentation,Moderate,10,False,has_documentation_changes=True; total_changes=14; changed_files=1; configuration_changes=False,A substantial or configuration-related change has no detected documentation update.,"Update user, developer or operational documentation where the change affects expected behaviour."
3015,PR005,Security-sensitive file change,Security,High,20,False,has_security_sensitive_changes=False; security_sensitive_files_changed=0,The PR changes one or more files classified as security-sensitive.,"Require focused security review and verify that secrets, authentication and permission impacts have been assessed."
3015,PR006,Security-sensitive change without tests,Security,Critical,28,False,security_change=False; security_sensitive_files_changed=0; has_test_changes=False,Security-sensitive files changed without a detected test update.,Block approval until security-relevant tests or documented validation evidence are supplied.
3015,PR007,Configuration change,Operations,Moderate,10,False,has_configuration_changes=False; configuration_files_changed=0,The PR modifies configuration-related files.,"Confirm environment impact, deployment sequencing, rollback instructions and configuration validation."
3015,PR008,Large pull request,Complexity,Moderate,12,False,total_changes=14; changed_files=1,The PR contains at least 500 changed lines or 20 changed files.,Consider splitting the change or assign additional review capacity to reduce review risk.
3015,PR009,Very large pull request,Complexity,High,22,False,total_changes=14; changed_files=1,"The PR contains at least 1,500 changed lines or 50 changed files.",Split the PR where practical and require a structured review plan before approval.
3015,PR010,High commit complexity,Complexity,Moderate,8,False,commit_count=2,The PR contains ten or more commits.,Review commit organisation and consider squashing or restructuring commits for easier review.
3015,PR011,Risk-bearing PR without reviewer,Governance,High,18,False,requested_reviewer_count=0; total_changes=14; changed_files=1; security_changes=False; configuration_changes=False,"A large, security-sensitive or configuration-related PR has no requested reviewer.",Assign an appropriate reviewer before the PR progresses toward approval.
3015,PR012,Multiple unusual PR characteristics,Complexity,Moderate,10,False,has_any_iqr_outlier=True; iqr_outlier_feature_count=1,The PR has multiple features outside historical interquartile ranges.,Perform additional manual review because several PR characteristics are unusual for this repository.
3030,PR001,Missing PR description,Documentation,High,18,False,has_description=True; body_length=121,The pull request does not provide a usable description.,"Add a clear description covering the purpose, scope, expected behaviour and validation performed."
3030,PR002,Weak PR description,Documentation,Moderate,8,True,has_description=True; has_detailed_description=False; body_word_count=19,The description exists but appears too short or insufficiently detailed.,"Expand the description with implementation context, testing evidence and reviewer guidance."
3030,PR003,Substantive change without tests,Testing,High,22,False,has_test_changes=False; total_changes=11; changed_files=1; security_changes=False; configuration_changes=False,"A substantive code, configuration or security change has no detected test-file update.","Add or update automated tests, or document why additional tests are not required."
3030,PR004,Substantial change without documentation,Documentation,Moderate,10,False,has_documentation_changes=True; total_changes=11; changed_files=1; configuration_changes=False,A substantial or configuration-related change has no detected documentation update.,"Update user, developer or operational documentation where the change affects expected behaviour."
3030,PR005,Security-sensitive file change,Security,High,20,False,has_security_sensitive_changes=False; security_sensitive_files_changed=0,The PR changes one or more files classified as security-sensitive.,"Require focused security review and verify that secrets, authentication and permission impacts have been assessed."
3030,PR006,Security-sensitive change without tests,Security,Critical,28,False,security_change=False; security_sensitive_files_changed=0; has_test_changes=False,Security-sensitive files changed without a detected test update.,Block approval until security-relevant tests or documented validation evidence are supplied.
3030,PR007,Configuration change,Operations,Moderate,10,False,has_configuration_changes=False; configuration_files_changed=0,The PR modifies configuration-related files.,"Confirm environment impact, deployment sequencing, rollback instructions and configuration validation."
3030,PR008,Large pull request,Complexity,Moderate,12,False,total_changes=11; changed_files=1,The PR contains at least 500 changed lines or 20 changed files.,Consider splitting the change or assign additional review capacity to reduce review risk.
3030,PR009,Very large pull request,Complexity,High,22,False,total_changes=11; changed_files=1,"The PR contains at least 1,500 changed lines or 50 changed files.",Split the PR where practical and require a structured review plan before approval.
3030,PR010,High commit complexity,Complexity,Moderate,8,False,commit_count=1,The PR contains ten or more commits.,Review commit organisation and consider squashing or restructuring commits for easier review.
3030,PR011,Risk-bearing PR without reviewer,Governance,High,18,False,requested_reviewer_count=0; total_changes=11; changed_files=1; security_changes=False; configuration_changes=False,"A large, security-sensitive or configuration-related PR has no requested reviewer.",Assign an appropriate reviewer before the PR progresses toward approval.
3030,PR012,Multiple unusual PR characteristics,Complexity,Moderate,10,False,has_any_iqr_outlier=False; iqr_outlier_feature_count=0,The PR has multiple features outside historical interquartile ranges.,Perform additional manual review because several PR characteristics are unusual for this repository.
